Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;BrunoWiFi;6C:19:8F:55:B3:6F;;11;No;WPA2,AES-CCM;No;54.0;0;172;0;78;0;0;78;;;Sun Mar 17 23:00:58 2019;Sun Mar 17 23:08:09 2019;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Wifiandranet_Joao;C4:A8:1D:2F:54:86;;6;No;WPA2,AES-CCM;No;54.0;0;107;0;23;0;0;23;;;Sun Mar 17 23:01:23 2019;Sun Mar 17 23:08:06 2019;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;ANDRA_E6A2;00:1A:3F:FD:E6:A2;;11;No;WPA2,AES-CCM;No;54.0;0;170;0;3;0;0;3;;;Sun Mar 17 23:01:00 2019;Sun Mar 17 23:08:02 2019;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Wireless-N;80:3F:5D:93:C8:F3;;5;No;WPA2,AES-CCM;No;54.0;0;153;0;30;0;0;30;;;Sun Mar 17 23:01:00 2019;Sun Mar 17 23:08:09 2019;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;ANDRA_6E89;00:1A:3F:F0:6E:89;;1;No;WPA2,AES-CCM;No;54.0;0;236;0;15;0;0;15;;;Sun Mar 17 23:00:57 2019;Sun Mar 17 23:08:07 2019;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;cladia_wifiandranet;00:1A:3F:A1:3B:60;;11;No;WPA2,WPA,AES-CCM;No;54.0;0;262;0;141;0;0;141;;;Sun Mar 17 23:01:00 2019;Sun Mar 17 23:08:06 2019;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;ANDRA_3CF9;00:1A:3F:84:3C:F9;;1;No;WPA2,AES-CCM;No;54.0;0;290;0;298;0;0;298;;;Sun Mar 17 23:00:57 2019;Sun Mar 17 23:08:08 2019;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;ANDRA_E698;00:1A:3F:FD:E6:98;;10;No;WPA2,AES-CCM;No;54.0;0;304;0;738;0;0;738;;;Sun Mar 17 23:00:59 2019;Sun Mar 17 23:08:09 2019;-48;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
